slank,formal
wanjiir,anjir
njrittt,anjir
annnnjjjjjjrrrr,anjir
jirr,anjir
jirrrr,anjir
anterin,antar
anugrah,anugerah
pa,apa
apaaa,apa
epe,apa
apah,apa
ape,apa
ap,apa
apaa,apa
apo,apa
appa,apa
apaaan,apaan
apa2,apa-apa
"apa""",apa-apa
pa2,apa-apa
apa2nya,apa-apanya
apain,apai
palgi,apalagi
apalg,apalagi
apalai,apalagi
apalgi,apalagi
apalagiii,apalagi
apaalahh,apalah
apun,apapun
apasihhh,apasih
apikkkk,apik
uuuuuaaaaaaaaaappppppppppiiiiiiiiiiiiiiiiiikkkkkkkkkkkkkkkk,apik
aplks,aplikasi
applikasi,aplikasi
apk,aplikasi
app,aplikasi
apl,aplikasi
apknya,aplikasi
appnya,aplikasi
apps,aplikasi
aplikasix,aplikasi
aplikasiny,aplikasi
application,aplikasi
aplication,aplikasi
aplications,aplikasi
appl,aplikasi
aplikation,aplikasi
aplikasih,aplikasi
aplikas,aplikasi
apliaksi,aplikasi
arab2,arab-arab
artix,artinya
artis2,artis-artis
"artis""",artis-artis
"artist""",artis-artis
artisnyaa,artisnya
asikkk,asik
azeeeek,asik
azekkkk,asik
uaaasssiiiik,asik
asliii,asli
asliiii,asli
asliiiii,asli
aslinyo,aslinya
stagahhhh,astaga
astagaa,astaga
astagaaaa,astaga
astagaaaaaa,astaga
astagaaa,astaga
astagaaaaaaaa,astaga
wuastagah,astaga
astgfrullah,astagfirullah
astagfirrullah,astagfirullah
astgfrlh,astagfirullah
astagfirullh,astagfirullah
astafirullah,astagfirullah
astauviruloh,astagfirullah
asuuu,asu
asyikkkkk,asyik
ats,atas
taz,atas
atassss,atas
atassan,atasan
ato,atau
atw,atau
atmny,atm
atuhhh,atuh
atuhh,atuh
aurot,aurat
awk,awak
awl,awal
awal2,awal-awal
awaas,awas
ayahh,ayah
ayoook,ayo
ayoo,ayo
ayooo,ayo
ayoooo,ayo
yoo,ayo
ayoookkkkkk,ayo
ayuk,ayo
ayooook,ayo
ayoklaa,ayolah
azaab,azab
bc,baca
bca,baca
bacaaaa,baca
baca2,baca-baca
bacahalah,bacalah
bacotin,bacoti
badaaiii,badai
badaii,badai
bdan,badan
bdn,badan
gimna,bagaimana
gmn,bagaimana
bagaimna,bagaimana
gmana,bagaimana
bgmn,bagaimana
gimana,bagaimana
gmna,bagaimana
bgmana,bagaimana
bgmna,bagaimana
gimanaaaa,bagaimana
himana,bagaimana
gimanaa,bagaimana
bagaimanaaa,bagaimana
gimn,bagaimana
gmanapun,bagaimanapun
bagiii,bagi
bgi,bagi
bagi2,bagi-bagi
bagiin,bagikan
baguuuuus,bagus
bgs,bagus
baguusss,bagus
bgus,bagus
bagusss,bagus
baguuus,bagus
bgussss,bagus
baguss,bagus
bagussss,bagus
bagus2,bagus-bagus
bagusnyeee,bagusnya
bhagia,bahagia
bhgia,bahagia
bhagaia,bahagia
bhn,bahan
bhnya,bahannya
bhas,bahas
bhs,bahasa
bahas2,bahas-bahas
bhkn,bahkan
bhwa,bahwa
bhw,bahwa
baaiikkk,baik
baek,baik
baikk,baik
bae2,baik-baik
baek2,baik-baik
baik2,baik-baik
baik2nya,baik-baiknya
baikxa,baiknya
bazengg,bajingan
bju,baju
baju2,baju-baju
baju'a,bajunya
baju.a,bajunya
bkal,bakal
bkln,bakalan
bakar2in,bakar-bakari
bakattt,bakat
ngebala,bala
bls,balas
bales,balas
bales2in,balas-membalas
walik,balik
blik,balik
bandingin,bandingkan
bnk,bang
bangg,bang
bg,bang
bng,bang
baang,bang
banx,bang
baaaaaang,bang
bgt,banget
bangett,banget
bngt,banget
bangettt,banget
bingitsss,banget
bgttt,banget
bangat,banget
bingiit,banget
bat,banget
bet,banget
bingiiittttzzzz,banget
bangeettt,banget
bnget,banget
bgtt,banget
bgtttt,banget
bangetttt,banget
banger,banget
bngtt,banget
nged,banget
bangeett,banget
binggo,banget
bangetttttyt,banget
bangettttt,banget
bngettt,banget
bingit,banget
bngett,banget
bangeet,banget
banged,banget
bgd,banget
bangeeet,banget
baget,banget
bagaatt,banget
banhet,banget
bgttttttt,banget
bngtzt,banget
bingits,banget
begete,banget
bingittzz,banget
bangets,banget
buanget,banget
bget,banget
baanggeettt,banget
nget,banget
ngets,banget
bangeeeet,banget
bngetttt,banget
bgect,banget
beut,banget
bngttt,banget
batwc,banget
bgettt,banget
bangetttttt,banget
bangt,banget
bangeeettt,banget
bngeeeetttt,banget
aned,banget
bangettttttt,banget
bingiittt,banget
babget,banget
beudd,banget
ngettt,banget
beud,banget
bets,banget
bngatt,banget
bangrt,banget
bhet,banget
bangetttttttt,banget
bangget,banget
bettt,banget
bangeeeeetttt,banget
banggett,banget
bngeet,banget
nanget,banget
aneut,banget
bgtttttttt,banget
battt,banget
bingiiittzz,banget
bngtttt,banget
bngy,banget
bangeer,banget
baanget,banget
ngetsz,banget
bingitt,banget
bangedd,banget
bingitss,banget
bangedt,banget
anedh,banget
bingitzzzz,banget
aneed,banget
"bangt""",banget-banget
banggain,banggakan
bnggain,banggakan
bangke,bangkai
bngkit,bangkit
bangkret,bangkrut
bangcat,bangsat
bangshad,bangsat
bngun,bangun
bgun,bangun
bngunlah,bangunlah
perban,bank
bang,bank
bangk,bank
ban,bank
bante,bantai
bntu,bantu
bantuim,bantu
bantuanny,bantuannya
bnyak,banyak
bnyk,banyak
byk,banyak
banyaaaaaak,banyak
banyaaaak,banyak
byak,banyak
banyaak,banyak
buanyaaak,banyak
banyak2,banyak-banyak
bpkmu,bapakmu
bpknya,bapaknya
baraang,barang
barang2,barang-barang
brangnya,barangnya
berbiiiiiihhh,barbie
brg,bareng
barengg,bareng
"brg""",bareng-bareng
bru,baru
br,baru
baruu,baru
baharu,baru
baru2,baru-baru
batesin,batasi
batikk,batik
bawak,bawa
bw,bawa
baperr,bawa perasaan
baper,bawa perasaan
bapeeeer,bawa perasaan
bape,bawa perasaan
bapeerr,bawa perasaan
"bwa""",bawa-bawa
"bawa""",bawa-bawa
bawa2,bawa-bawa
bayangin,bayangkan
pay,bayar
pembayarn,bayar
payment,bayar
byaran,bayaran
bbrp,beberapa
bbrpa,beberapa
bebrp,beberapa
bedaa,beda
bedaaa,beda
beda2,beda-beda
bedanyaaa,bedanya
gini,begini
gni,begini
bgini,begini
ginii,begini
beginiiii,begini
gn,begini
bgni,begini
giniii,begini
gnii,begini
geneeee,begini
beginii,begini
ginian,beginian
giniin,beginikan
gitu,begitu
gtu,begitu
gituuu,begitu
gituh,begitu
gthu,begitu
bgtu,begitu
gt,begitu
gtuu,begitu
geetoo,begitu
gituu,begitu
bgitu,begitu
gtuh,begitu
bgtuu,begitu
giti,begitu
giitu,begitu
gituuuuu,begitu
gituan,begituan
gitu2,begitu-gitu
"gtu""",begitu-gitu
gtu2,begitu-gitu
"gtu""an",begitu-gituan
gituin,begitukan
gitulah,begitulah
begok,bego
blajar,belajar
bljr,belajar
blkng,belakang
blkang,belakang
belanjaa,belanja
blnja,belanja
bli,beli
bli2n,beli-belikan
beliin,belikan
beliiin,belikan
blm,belum
blom,belum
belooomm,belum
blim,belum
belom,belum
beluumm,belum
blum,belum
benet,benar
bnerr,benar
bner,benar
bener,benar
bnr,benar
benerr,benar
benneeeeeerr,benar
beneran,benaran
bnern,benaran
beneraan,benaran
bnran,benaran
bneraan,benaran
benetaran,benaran
bneran,benaran
bnrn,benaran
bener2,benar-benar
benar2,benar-benar
"bener""",benar-benar
bnr2,benar-benar
"benar""",benar-benar
"bner""",benar-benar
bner2,benar-benar
benda2,benda-benda
bengkak2,bengkak-bengkak
bentarr,bentar
bntar,bentar
bntr,bentar
bradegan,beradegan
boker,berak
berangat,berangkat
brani,berani
berani2,berani-berani
branjak,beranjak
brantem,berantem
brp,berapa
brpa,berapa
brapa,berapa
berarto,berarti
brrt,berarti
brrti,berarti
berati,berarti
brarti,berarti
brasa,berasa
beratttttttt,berat
brbakti,berbakti
berbakiti,berbakti
berbeda2,berbeda-beda
brbuat,berbuat
bcnda,bercanda
bdampingan,berdampingan
brdiri,berdiri
brdua,berdua
ber2,berdua
bedua,berdua
b2,berdua
b2an,berduaan
ber'expresi,berekspresi
berenanh,berenang
bres,beres
bergunaa,berguna
brhasil,berhasil
stak,berhenti
berhijap,berhijab
bhijab,berhijab
brhjb,berhijab
brisi,berisi
brita,berita
britanya,beritanya
bejilbbnya,berjilbabnya
brjdh,berjodoh
brjodoh,berjodoh
jogetin,berjoget
berkluarga,berkeluarga
brkunjun,berkunjung
blakon,berlakon
bermaksut,bermaksud
mansetan,bermanset
brpndapat,berpendapat
berfikir,berpikir
brsma,bersama
brsama,bersama
basodaraa,bersaudara
brsyukur,bersyukur
nambah,bertambah
nmbah,bertambah
nambahh,bertambah
nanya,bertanya
bertatto,bertato
temenan,berteman
brtngkar,bertengkar
b3,bertiga
bertolernsi,bertoleransi
brubah,berubah
berntung,beruntung
beruntungnyaaaa,beruntungnya
brusaha,berusaha
berjinah,berzina
"besar""",besar-besar
besar2an,besar-besaran
besar2in,besar-besarkan
bsk,besok
bsok,besok
besook,besok
besokkk,besok
betuuuuulllllllllllllllll,betul
btul,betul
btulan,betulan
betul2,betul-betul
biarin,biarkan
biasahhh,biasa
biasaa,biasa
biasaaaa,biasa
biasaaa,biasa
biasa2,biasa-biasa
bijak2,bijak-bijak
bkin,bikin
bikinin,bikin
bkn,bikin
bijin,bikin
bikinnn,bikin
blg,bilang
blng,bilang
bilangg,bilang
bilangin,bilang
bilanh,bilang
bilng,bilang
"bilang""",bilang-bilang
bilang2,bilang-bilang
bird,biru
biri,biru
bs,bisa
bisaa,bisa
bisaaa,bisa
bsa,bisa
bz,bisa
biza,bisa
bisax,bisanya
bolang,bocah petualang
bodhooo,bodoh
bodhoo,bodoh
bo'ong,bohong
boong,bohong
mboizzz,bois
leh,boleh
bole,boleh
bleh,boleh
bol3h,boleh
blh,boleh
lh,boleh
le,boleh
boleh2,boleh-boleh
goncengin,boncengkan
boro2,boro-boro
boss,bos
bosen,bosan
bosaan,bosan
bosen2,bosan-bosan
botakkkk,botak
hotak,botak
botakin,botaki
brayyy,bray
brengsekk,brengsek
bronis,brondong manis
bwt,buat
bt,buat
buatin,buatkan
bujngn,bujangan
bujukk,bujuk
bka,buka
bukak,buka
buka2,buka-buka
buka2an,buka-bukaan
bukn,bukan
bkan,bukan
bukan'a,bukannya
bukti2,bukti-bukti
buktiin,buktikan
buktinyaaa,buktinya
bln,bulan
blln,bulan
bulet,bulat
buuun,bun
bund,bunda
bundaaaa,bunda
bnda,bunda
bundaa,bunda
bundaaa,bunda
bungggg,bung
bunga2,bunga-bunga
bungkuuuuuuuuusss,bungkus
bungkuuussss,bungkus
bungkusin,bungkuskan
burem,buram
buruannn,buruan
buruann,buruan
busedh,buset
buseett,buset
btuh,butuh
cabe2,cabe-cabe
cabe2an,cabe-cabean
cabol,cabul
cali,caci
cadasss,cadas
cakepp,cakep
cakeeeeppp,cakep
cakeep,cakep
cmkn,camkan
cmpur,campur
syantik,cantik
cantiik,cantik
ntik,cantik
cantikkk,cantik
cntik,cantik
cantikkkk,cantik
cantikk,cantik
cantiiik,cantik
cantiiiiiiik,cantik
catiiiiik,cantik
cantiq,cantik
cantiikkkk,cantik
cans,cantik
cantikkkm,cantik
canttttikkk,cantik
cantika,cantik
cantiks,cantik
cntk,cantik
cantiikk,cantik
ntikk,cantik
canttikkk,cantik
cuaantik,cantik
canteek,cantik
cantiiiik,cantik
syantiiiiikkkkkkkkkkkk,cantik
canti,cantik
cantikkkkkkkk,cantik
cantiiikk,cantik
cannnnntikkkkkkk,cantik
syantiek,cantik
cuantikkk,cantik
cntikk,cantik
cantikkkkkk,cantik
cuanti,cantik
cuaaantikk,cantik
canyk,cantik
cantiiillx,cantik
cantiiiikk,cantik
cannntikk,cantik
cuantik,cantik
cantiiikkk,cantik
cantip,cantik
cantikkkkk,cantik
cntiiikkk,cantik
cantix,cantik
cantiqs,cantik
caantiiik,cantik
caaannnttiikkk,cantik
cuantek,cantik
cantk,cantik
canci,cantik
cntikan,cantikan
cantiik2,cantik-cantik
cantik2,cantik-cantik
cantik2nya,cantik-cantiknya
cntiknya,cantiknya
cantiknnnnyaaaaaaa,cantiknya
cantiknyaaa,cantiknya
cantinya,cantiknya
cantikx,cantiknya
cantiknyaa,cantiknya
cantiknyaaaaa,cantiknya
capee,cape
cape,capek
cr,cara
caranga,caranya
cri,cari
cari2,cari-cari
cariin,carikan
catokin,catok
cek2,cek-cek
ceklist,ceklis
cd,celana dalam
cemburuu,cemburu
ceemen,cemen
cempreeng,cempreng
centillll,centil
centilnyaaaaaa,centilnya
cpt,cepat
cepet,cepat
cpet,cepat
cepetan,cepatan
cepet2,cepat-cepat
cerdass,cerdas
cerdiik,cerdik
critamu,ceritamu
ceritax,ceritanya
cw,cewek
cwek,cewek
cew,cewek
cewe,cewek
cwe,cewek
cwnya,ceweknya
choker2,choker-choker
ciyeeeeeee,cie
ciyeeee,cie
cieeeee,cie
ciee,cie
ciieeeeeee,cie
ciiieee,cie
cieee,cie
cieeee,cie
cino,cina
cinggirnyaaaa,cinggirnya
cintaaaaaaa,cinta
cyiiin,cinta
cyin,cinta
cintax,cintanya
ciptain,ciptakan
cita2,cita-cita
ciuuuummmm,cium
tium,cium
ciumman,ciuman
cobaa,coba
cb,coba
cobaaaa,coba
cba,coba
cobain,coba
cobaaa,coba
cobak,coba
cocokk,cocok
cooocok,cocok
cocokkk,cocok
cocokkkk,cocok
cock,cocok
cucokkk,cocok
ccok,cocok
coxok,cocok
cooooooocok,cocok
cucok,cocok
cocookk,cocok
cocokkkkk,cocok
coccokk,cocok
cuchook,cocok
cocook,cocok
cuco,cocok
cocokny,cocoknya
cocokx,cocoknya
coeggg,coeg
"coret""",coret-coret
co,cowok
cwo,cowok
cow,cowok
cowo,cowok
cwok,cowok
cogan,cowok ganteng
coyyy,coy
ckup,cukup
ckp,cukup
cukurrr,cukur
cm,cuma
cma,cuma
cums,cuma
cuman,cuma
cmn,cuman
cumn,cuman
cman,cuman
curhat2,curhat-curhat
cuyyy,cuy
cuyy,cuy
daah,dah
dahhhh,dah
dahh,dah
dh,dah
daaah,dah
dasyat,dahsyat
dlm,dalam
dlam,dalam
dallam,dalam
dalem2,dalam-dalam
dalil2,dalil-dalil
dn,dan
dapet,dapat
dpt,dapat
dptkan,dapatkan
dptnya,dapatnya
dr,dari
dri,dari
drii,dari
drimana,darimana
drmn,darimana
drimnanya,darimananya
drpd,daripada
dripada,daripada
darpada,daripada
dripda,daripada
drpada,daripada
dasarrr,dasar
dsar,dasar
dasaar,dasar
dsr,dasar
dsrny,dasarnya
dateng,datang
dteng,datang
dtg,datang
dtgkan,datangkan
deg2an,deg-degan
dhe,deh
dehhhh,deh
daaaah,deh
dech,deh
dehh,deh
dwh,deh
dah,deh
dehhh,deh
de,deh
deeh,deh
deeek,dek
dekkk,dek
dee,dek
dekk,dek
deket,dekat
dekt,dekat
dket2in,dekat-dekati
deketin,dekati
dgn,dengan
dg,dengan
dngan,dengan
dng,dengan
denger,dengar
dgr,dengar
dengerin,dengarkan
dengeeriin,dengarkan
dpn,depan
dewassa,dewasa
dwsa,dewasa
dhi,di
fi,di
do,di
dii,di
ddlm,di dalam
dy,dia
diaa,dia
dya,dia
dieee,dia
diaaa,dia
diajarin,diajari
diakibtkn,diakibatkan
diem,diam
diemm,diam
"diam""",diam-diam
diemin,diamkan
diamkn,diamkan
dianterin,diantar
dianter,diantar
d.apa,diapa
diapa2in,diapa-apai
diapain,diapakan
dibls,dibalas
dbnding,dibanding
dibangga'in,dibangga-banggakan
dibanggain,dibanggakan
dibnggain,dibanggakan
dbwh,dibawah
diginikan,dibeginikan
diginiin,dibeginikan
digituin,dibegitukan
dblkang,dibelakang
dblkng,dibelakang
dibiarin,dibiarkan
d.bikinin,dibikin
dibikin2,dibikin-bikin
dbuat,dibuat
dcintai,dicintai
ddpt,didapat
ddpat,didapat
didapet,didapat
didatengin,didatangi
didengerin,didengarkan
difotoin,difoto
digambarin,digambarkan
digabtikan,digantikan
dihh,dih
diihhhh,dih
dihpus,dihapus
dhpusin,dihapuskan
dihargain,dihargai
diindonesis,diindonesia
diingetin,diingatkan
dijadiin,dijadikan
dijkt,dijakarta
dijwb,dijawab
dijelekin,dijelekkan
diksi,dikasih
dikatain,dikatai
dibkatakan,dikatakan
dikata2in,dikata-katai
dikemanain,dikemanakan
dikerasin,dikerasi
dkuburnya,dikuburnya
diladenin,diladeni
dilepas2,dilepas-lepas
diliat,dilihat
diliatnya,dilihatnya
dilindungin,dilindungi
diluangin,diluangkan
dluar,diluar
diluarann,diluaran
dmn,dimana
dmana,dimana
dmna,dimana
"dimana""",dimana-mana
dimarahin,dimarahi
dimasukin,dimasuki
dimao,dimau
dimusiumin,dimuseumkan
dinamakn,dinamakan
"dingin""",dingin-dingin
dinyanyiin,dinyanyikan
dpke,dipakai
dipake,dipakai
dipermainin,dipermainkan
dipikirin,dipikirkan
dipojokin,dipojokkan
dposisi,diposisi
dpotong,dipotong
dipuja2,dipuja-puja
diputusin,diputuskan
dirimuuu,dirimu
dirmh,dirumah
dirumahny,dirumahnya
dsana,disana
dsna,disana
disiniii,disini
dsni,disini
disni,disini
dsini,disini
dssi,disisi
dstu,disitu
disupirin,disopiri
sitayngin,ditayangkan
ditayangin,ditayangkan
ditengah2,ditengah-tengah
dtinggl,ditinggal
dtnggu,ditunggu
dtunggu,ditunggu
dtggu,ditunggu
dituutup,ditutup
ditutupin,ditutupi
diurusin,diurusi
doa2,doa-doa
doangam,doang
doank,doang
doaang,doang
dongg,dong
dooong,dong
donkk,dong
donk,dong
dunk,dong
donx,dong
dumsss,dong
donks,dong
doong,dong
doonk,dong
dung,dong
dongggg,dong
dnk,dong
donggg,dong
dosaa,dosa
dosaaaaaaaaaa,dosa
dosa2mu,dosa-dosamu
dosax,dosanya
dramaa,drama
22nya,dua-duanya
dua2nya,dua-duanya
duanyaa,duanya
duetin,duet
duhh,duh
duuhhh,duh
deuhh,duh
duhhhhh,duh
duuhh,duh
duhhh,duh
duuuhh,duh
duuhhhhh,duh
duuuhhh,duh
uitnya,duitnya
duluu,dulu
dlu,dulu
doeloe,dulu
dl,dulu
duluuu,dulu
dulurrr,dulur
dureen,duren
durhaka2,durhaka-durhaka
edaaan,edan
edaaaan,edan
edannn,edan
edaaann,edan
editannn,editan
eeeehhhh,eh
ehh,eh
ehhh,eh
hehh,eh
eey,eh
eehhh,eh
eeeeh,eh
expresi,ekspresi
eksprsi,ekspresi
elus2,elus-elus
emk,emak
ema,emak
emak2,emak-emak
emakx,emaknya
mbuh,embuh
money,emoney
enk,enak
wenakk,enak
wenak,enak
enakkkkk,enak
ncek,encek
ngeh,engah
nggeh,engah
ngeuh,engah
kokohh,engkoh
ntah,entah
entahhh,entah
ntar,entar
ntr,entar
tar,entar
entr,entar
tot,entot
eror,error
masalah,error
erorr,error
masala,error
masalhnya,error
erorrr,error
eroorr,error
eroor,error
euyyyyy,euy
fakta2,fakta-fakta
fakultass,fakultas
pans,fan
ngefans,fan
ngfans,fan
fans,fan
fatanik,fanatik
fans2,fan-fan
fav,favorit
favoriteeee,favorit
fillm,film
pilm,film
flm,film
filmny,filmnya
flim.a,filmnya
fiturnya,fitur
fiture,fitur
piturna,fitur
pitur,fitur
piturnya,fitur
fto,foto
fhoto,foto
fotbar,foto bareng
fto2,foto-foto
foto2,foto-foto
"foto""",foto-foto
foto2nya,foto-fotonya
fhotonya,fotonya
fotony,fotonya
gadiss,gadis
gagahx,gagahnya
gajelas,gaje
tidak jelas,gaje
gambarin,gambarkan
gmpg,gampang
gndakan,gandakan
gantengg,ganteng
gantenggg,ganteng
gantng,ganteng
gans,ganteng
nganteng,ganteng
ganteung,ganteng
ganteeeeng,ganteng
gantheng,ganteng
guanteng,ganteng
ginting,ganteng
gantweng,ganteng
ganteng2,ganteng-ganteng
gantengkuuuuuu,gantengku
gantengnyaaaa,gantengnya
gnti,ganti
gara2,gara-gara
gara'',gara-gara
gra2,gara-gara
"gara""",gara-gara
grgr,gara-gara
gr2,gara-gara
garemin,garami
garuk2,garuk-garuk
gawl,gaul
gawul,gaul
gya,gaya
gayany,gayanya
gayannxa,gayanya
gayax,gayanya
gebleg,geblek
gde,gede
gedeg,gedek
gegra,gegara
glembeeeer,gelambir
gemess,gemas
emessss,gemas
gemesshh,gemas
gemay,gemas
gemesss,gemas
emesshhh,gemas
gemeessss,gemas
gemes,gemas
gemmeeezzz,gemas
emeezzz,gemas
emeessss,gemas
emeshh,gemas
gemez,gemas
gemeeezzzz,gemas
gemezz,gemas
gemezzzz,gemas
gemesshzzzzhzzhzhzhsjssjs,gemas
gemesyak,gemas ya
gemesnya,gemasnya
genduut,gendut
ndut,gendut
genggg,geng
genittt,genit
geuliiiiiiis,geulis
geh,gih
gehh,gih
gilaaaa,gila
gilzz,gila
gilaaa,gila
gilakkkkkk,gila
gilak,gila
gokil,gila
gokill,gila
gokiiill,gila
gilaa,gila
gilsss,gila
gils,gila
gokillllll,gila
gilaaaaaa,gila
gokilll,gila
gilakkkkk,gila
geeelaakk,gila
gile,gila
gewlaaaaa,gila
gilakkk,gila
gokilnya,gilanya
gingsungny,gingsulnya
goblokkk,goblok
bloghhh,goblok
gossip2.an,gosip-gosipan
graaatiiiis,gratis
gratisss,gratis
gratiss,gratis
greged,greget
guaa,gua
guaaaaaaa,gua
gw,gue
guee,gue
w,gue
gueee,gue
guw,gue
gueeeee,gue
uwee,gue
gunaa,guna
grunya,gurunya
abizzzz,habis
abes,habis
abeees,habis
abis,habis
hbis,habis
abiz,habis
abizzz,habis
hbs,habis
abez,habis
abisss,habis
abiiiss,habis
abiiiiisssss,habis
abiss,habis
abs,habis
ngabisin,habis
abis2,habis-habis
hdpn,hadapan
hadirrr,hadir
hadirr,hadir
heii,hai
hay,hai
hy,hai
haiii,hai
hiii,hai
heeee,hai
haii,hai
halangin,halangi
hal2,hal-hal
hallo,halo
halllo,halo
hellooooooo,halo
helo,halo
helloo,halo
helooooo,halo
hallooo,halo
halooo,halo
halow,halo
hmpir,hampir
ancurrr,hancur
hancuuuuuy,hancur
ancur,hancur
hp,handphone
hpbsaya,handphone
hpnya,handphone
handphon,handphone
hnya,hanya
hny,hanya
apal,hapal
hpus,hapus
apus,hapus
uninstall,hapus
hapusin,hapuskan
hargs,harga
hiri,hari
hr,hari
hri,hari
hari2,hari-hari
hrs,harus
haru,harus
hrus,harus
kudu,harus
hrsny,harusny
hrsnya,harusnya
hrusnya,harusnya
hasilnyaaa,hasilnya
hslnya,hasilnya
haslnya,hasilnya
ht,hati
hatii,hati
hat,hati
hatiiii,hati
hati2,hati-hati
"hati""",hati-hati
ati2,hati-hati
"ati""",hati-hati
hati.a,hatinya
hayukk,hayo
hayuu,hayo
hayooo,hayo
hebatt,hebat
hebaat,hebat
hematt,hemat
hampasss,hempas
hempaass,hempas
hdk,hendak
hndak,hendak
hndk,hendak
"happi""",hepi-hepi
hidiyah,hidayah
idung,hidung
idungnya,hidungnya
hdup,hidup
hdp,hidup
hidupppp,hidup
hiduppp,hidup
idup,hidup
hiduupppp,hidup
hdpnya,hidupnya
idupnya,hidupnya
hidupx,hidupnya
hijaabbb,hijab
hijabb,hijab
hijap,hijab
ilang,hilang
hilangv,hilang
ilang2,hilang-hilang
"ilang""",hilang-hilang
ilang2an,hilang-hilangan
ilang-in,hilangkan
hgga,hingga
hngga,hingga
hiraukn,hiraukan
itungan,hitungan
hokiii,hoki
hotx,hotnya
hubngan,hubungan
hub,hubungan
hubunggi,hubungi
hujatann,hujatan
ibliss,iblis
ibu2,ibu-ibu
ibuk2,ibu-ibu
idamann,idaman
widihh,idih
idolaa,idola
idoolaaa,idola
ihhhhh,ih
ihh,ih
