No,userName,at,score,content,Sentimen
120,Ade Mulyana,12/12/2022,2,"maaf mau minta tolong ,saya sudah daftar online dan berhasil ,malah saldo sudah saya isi ..tapi kartu debit belum datang ke rumah .. nah sekarang hp saya ke restar ,,cara masuk nya gimana ya sedang kan saya ga tau nombr debit di kartu nya .",negatif
121,nana Siregar,12/12/2022,1,Tadi nya pake yg manual bukan online.krn sy tau akan sepwrti ini.agar tdk ribet..udh bertahun pake aman.trakhir digoyang juga.akhirnya disuruh pake livin.1 minggu ngurus.minggu ke 2 udh ga bisa di buka.luarbiasa..ini artinya harus ke bank dan antri lagi .mengagalkan banyak urusan transaksi...gmana ini kalau mengandalkan transaksi banyak urusan dgn aplikasi ini..,negatif
122,Fallen Angel,12/12/2022,1,transaksi error mulu sat,negatif
123,Erick Yulhaf iskandar,12/12/2022,1,"Awalnya saya merasa terbantu, transaksi menjadi gampang, setelah itu tidak bisa digunakan, di uninstal harus permuk, dan ga bisa bisa, giliran bisa permuk malah ditolak, aplikasi macam apa, brengsekk, akhirnya saya uninstal dan pindah ke yang lain. Terimakasih mandiri menyebalkan.",negatif
125,Hilmy Wahdani,12/12/2022,1,"Topup ovo 1250k gabisa top up 500k gabisa ini tuh niat ga bikin aplikasi, user di persulit ,didaerah saya cmn ada 1 atm itupun eror , di tf susah, Kirim email ke CS gadibales.!",negatif
126,Ronet Corporation,12/12/2022,2,"Ralat penilaian, ternyata Livin' terlalu mudah diretas. Duitku gak seberapa hilang tapi temanku amblas belasan juta... Tentunya yg akan disalahkan ya si pengguna tapi pengguna juga tidak akan lengah jika Livin' tidak seambruk itu",negatif
127,Amelia Tatodamoniung,12/13/2022,1,"Sebenarnya saya suka dengan aplikasi Livin dari mandiri Tapi akhir2 ini baru mengklik aplikasi hanya 2 detik langsung keluar tanpa ada informasi lanjutan saya cek tidak ada pembaruan untuk aplikasi,, jaringan saya juga sangat bagus. Saya coba uninstall pas buka kembali registrasi seperti semula... Katanya tidak harus datang ke cabang atau ke atm Tapi saya registrasi kembali dan harus konfirmasi kembali ke atm mandiri Mana atm di daerah saya jauh lagi jaraknya.",negatif
128,Yayan Jamilah,12/13/2022,5,Mohon agak lebih cepat proses kartu debit nya dikirim ya??sampai sekarang kartu debit mandiri belum dikirim ke alamat saya???,negatif
129,Ning Aisyah,12/13/2022,1,Susah di update,negatif
130,Diyana Salma Suhailah,12/13/2022,2,"Ini kenapa yah selalu gagal kalo mau tf,pdhal saldo cukup",negatif
131,Rafaelfajar Fajar,12/13/2022,5,Sangat berguna dan trus kembangkan lebih baik lgi top tooopp,positif
133,Nuel Sloww,12/13/2022,1,Sering maintenance di malam hari..dan prosesnya terlalu lama.. no Gud ????,negatif
134,Hanadulset Kania,12/13/2022,1,Banyak eror nya,negatif
135,Haidar Femes,12/13/2022,1,"narik tunai tanpa rek gak bisa , pas di batalkan saldo ilang",negatif
136,Alan Bima,12/13/2022,2,Sering keluar sendiri aplikasinya,negatif
137,Muhammad Furqan,12/13/2022,1,Aplikasi nya sangat sangat buruk karena selalu perbaikan setiap hari gimana kami mau transaksi klo perbaikan terus setiap hari klo gak niat bikin aplikasi gak usah bikin buat susah orang aja percuma ada apl banking,negatif
138,Mr Spectrum,12/13/2022,1,Maintenance yang tidak masuk akal. Kartu debit tidak bisa digunakan ketika ingin melakukan transaksi,negatif
139,Arief Syahputra,12/13/2022,5,gagal masuk,negatif
141,wahyu wardana,12/13/2022,1,"Livin klo malem ga bisa transaksi ya, sampah !!!!",negatif
142,Abang Ayin,12/13/2022,1,Nyesal downlodnya veripikasi E ktp di tolak terus..gagal terus..udah puluhan kali d coba...un istal aja..,negatif
143,uchiha itachi,12/13/2022,1,Gak bisa upload foto QRIS jadi kalo mau apa?ý harus pake 2 hp untuk scan kode QR.. Payahh,negatif
144,Muhammad Arif,12/13/2022,2,Kenapa tiap jam 11 malam livin gangguan gabisa buka,negatif
145,DY Production,12/13/2022,1,"Kenapa Tidak bisa login, Tolong Untuk developer nya segera di perbaiki",negatif
146,awsatan,12/13/2022,1,lemot . .sering error,negatif
147,Erlangga Firmansyah,12/13/2022,1,"Tiap malem pengembangan terus , apa harus debug tiap malem ?",negatif
148,F_20_Gusti Ayu Apriliani Swantari,12/13/2022,1,"Livin makin kesini makin ngeribetin pengguna loh, topup eror mulu mana harus manual, transfer juga gitu. Pengembangan bukannya mempermudah malah lebih buruk dari sebelumnya, tolong diatensi ya tim livin terimakasih",negatif
149,iswaray90,12/13/2022,4,Cara mengatasi lupa password jika tidak memiliki kartu karena daftar online gmn?,negatif
150,Muhammad Tofik Ramadan,12/13/2022,1,Kenapa top up ke dana selalu gagal yaa,negatif
151,Totto Dk,12/13/2022,4,"Kasih 4 star dulu, kalau bagus di tambah lagi",positif
152,FIRUN F2M PURWOREJO (EXPRESS),12/13/2022,1,Susah login,negatif
153,Verdi Verdian,12/13/2022,3,Setelah di update verifikasi wajah kenapa selalu gagal ? Padahal udah jelas ikutin kamera lanjut berkedip. Gimana ini mandiri?,negatif
154,Amang Idik,12/13/2022,1,Susah untuk top up ke akun lain gagal mulu,negatif
155,kamu tuyul,12/13/2022,1,IT nya gak becus,negatif
156,sofy ummuhaniyah,12/13/2022,1,"Livin sekarang makin susah di akses, transaksi mbaking jadi lama. Jadi agak maless pakainya. Livin dulu lebih oke, mudah di akses, ga perlu puluhan kali tekan untuk bisa login.",negatif
157,Riski Diapriliadewi,12/13/2022,1,"Tolong donk diperbaiki lagi aplikasinya , setelah di update gak bisa masuk lagi dan saat masuk katanya pin terblokir , disuruh verivikasi wajah tapi gak bisa dan sudah nyoba berkali kali. . . Sudah datang ke bank nya juga masih tetep gak bisa , terus garus bagaimana ?",negatif
158,Dede Iskandar,12/13/2022,1,"Tidak bisa untuk bayar bpjs, selalu gagal transaksi",negatif
160,RAS JayaBersama,12/13/2022,5,Bagus mempercapat kegiatan transaksi usaha di daerah,positif
162,Ari Purjianto,12/13/2022,1,Mau masuk aplikasi aja susahnya minta ampun...... Beda ama yang logo biru.....jadi males pake Mbanking sekarang Sekarang tambah lagi masalanya.... Saya isi pulsa menggunakan livin sebesar 100000 sudah beberapa hari belum juga masuk ke no Tujuan. Kita komplian harus menunggu 2 minggu???­???­???­???­???­???­???­,negatif
163,semoga bermanfaat,12/13/2022,3,Pelayanan sih udah bagus .. Tapi gk tau kenapa susah banget sekarang masuk nya .. Jangankan login .. Kebuka aja gk aplikasi nya,negatif
165,Chandra Chinema,12/13/2022,1,Aplikasi jelek untuk login verifikasi wajah tidak bisa bisa,negatif
167,Iknaz Mauko,12/13/2022,5,MANDIRI Maantapp bangatt,positif
168,Iinnur Amallia,12/13/2022,1,Buat ngisi shoppe pay kok gak bisa kenapa ya,negatif
169,sardi putra,12/13/2022,1,"Setiap habis transaksi livin gak bisa di buka lagi, mau login dia keluar dengan sendirinya",negatif
170,Reza Izzuddin,12/13/2022,1,Penyelesaian masalah dari Bank Mandiri sangat buruk. Menyelesaikan masalah 1 transaksi saja membutuhkan waktu sampai 1 bulan lebih dan hingga kini belum jg terselesaikan. BUMN pelayanannya seperti ini sungguh memprihatinkan.,negatif
171,Muchamad Zainul fikri,12/13/2022,1,"Gimana ini apk livyn gak bisa di buka, bolak balik instal/uninstal ttep aja gak bisa di buka ???? Tolong secepatnya di perbaiki Transaksi reversal saya belum di kembalikan, mutasinya hilang, di email tidak ada balasan, dunia digitalnya mana ini, siapa yang mau tanggung jawab",negatif
172,lenny nurdianti,12/13/2022,1,Anjirrrt kmren lancar jaya skrg ga bisa ke buka apk nya di pencet aja ga bisa haha apk apaan ini respon lama,negatif
173,Fitri Budiwati,12/13/2022,1,knapa gk bisa d update biarpun berkali2 yaaaa,negatif
174,Meth Shrey,12/13/2022,5,Sangat puas pake aplikasi ini,positif
175,WIJATMOKO,12/13/2022,1,Aplikasinya kurang bagus,negatif
176,Fery Anggriawan,12/13/2022,5,Membantu,positif
178,Harun Arrasyid,12/13/2022,2,knapa jam klo sudah jam 22.00 gk bisa login????????,negatif
179,retna kuncari,12/13/2022,1,"Tambah ngaco.. sering gagal masuk mesti ke pengaturan otomatos tgl & waktu.. padahal sdh OTOMATIS.. mesti buang, download ulang.. gitu aja terus.. ribet jadinya",negatif
180,Ice Trisnawati,12/13/2022,5,memoermudah ke adaan,positif
181,surya 3107,12/13/2022,1,"buka tabungan via livin memang mudah cuma , pengiriman kartu nya sampai 2 bupan lebih tidak di kirim2 sudah pengajuan ulang pun tetap belum dikirim . mau ambil kartu di bank cabang sabtu tidak ada yang buka hadeehh ????",negatif
182,Ludiah Saragih,12/13/2022,3,Terkadang susah di buka aplikasinya,negatif
183,Lucky Sht22,12/13/2022,1,"Kenapa saya top up pulsa tidak masuk padahal pembayaran berhasil ,tapi cuma ada transaksi sedang di proses tapi pembayaran sudah berhasil ini gimana",negatif
184,Faisal Thobry,12/13/2022,2,"notifikasi sangat telat,harusnya standard bank server lebih stabil,gk telat notifikasi.",negatif
185,taufik mohamad,12/13/2022,5,Ok...,positif
187,lina wilujeng,12/13/2022,5,Kenapa saya bukan rekening lewat livin sampai skrg ATM blum juga di kirim... Katanya 14 hari kerja... Saya juga tidak bisa mengakses livin jika ATM tidak dikirim?ý... Saya harus kontak kemana untuk menanyakan perihal ATM... Mohon di jawab,negatif
188,Ajat Aunansar,12/13/2022,2,"Skrng susah. Selfi nya ok. Tp blm terhubung trus, sya coba berkali kli ttp z blm trhubung trus.. smpe pulsa gw abis. Kecewa lah",negatif
190,how are you,12/14/2022,1,"saya top up pulsa , tapi transaksi tidak dapat di proses . sedangkan dana nya di potong dan tidak di kembalikan",negatif
191,Rully Mulia,12/14/2022,5,"Mengapa livin tidak bisa langsung update emoney setelah topup harus tutup lewat tak tombol kanan bawah hp terus buka lagi halaman topup emoney, ini terjadi pada kartu saya atau yg lain juga, mohon update aplikasi terima kasih.",negatif
192,M Syahrul Fajar S,12/14/2022,1,"min ini HP saya yang aneh atau kenapa ya, HP saya RAm nya besar bgt loh. versi androidnya juga udh 12 . pling baru . tapi pas saya instal ini . ga bisa2 .. HP saya hang mulu, awapnya saya kira HPbsaya rusak. tapi ternyata gara2 instal aplikasi livin ini ... sedihhh",negatif
194,Ardiyan Alfian,12/14/2022,1,Semakin ndak sip,negatif
195,edy suherlan,12/14/2022,1,"Susah masuk aplikasinya, keluar sendiri...",negatif
196,Maulana Fajri,12/14/2022,3,"Ini ga bisa top up dana apa lagi gangguan,kami kasih bintang 3 dulu kalau responyan bagus di tambah lagi",negatif
197,amgslasher,12/14/2022,1,"Seperti versi sebelumnya, selalu keluar sendiri belum 1 detik, ini pihak MANDIRInya pada kemana kok pada diem",negatif
198,Lorianda Alfony,12/14/2022,5,Terimakasih atas penyelesaian yg sangat cepat atas krndala yg saya alami,positif
199,Issal Pangestu,12/14/2022,1,"Knp g bs buat pin Berkali"" instal & uninstal ttp g bs",negatif
200,Dian Fvck,12/14/2022,1,Gk di atm gk di livin nya sering gangguan!!! Hadeww,negatif
201,Arif Saoutr,12/14/2022,2,"Kenapa saya GK bisa login, Padahal Password/Data saya benar.",negatif
202,Fajar Iriawan,12/14/2022,4,Livin kadang error Menyebalkan,negatif
203,Firdayanti Puspitasari,12/14/2022,1,knp makin lama makin susah di akses,negatif
204,Nosvgar,12/14/2022,3,Sering error hemm,negatif
205,Winarko Qiwier,12/14/2022,1,G bs login,negatif
206,Bayu Sanjaya,12/14/2022,3,Perluas jangkauan untuk bayar tagihan PDAM kutai kartanegara Kalimantan timur tidak ada,negatif
207,Agung Darojat,12/14/2022,1,buruk,negatif
208,Anton Susilo,12/14/2022,1,"Saya bekerja di vital sector diluar negeri sehingga smartphone yang digunakan harus tanpa kamera. Pada saat instal baru LIVIN, dia mengharuskan scan wajah dan smartphone saya gak bisa melakukannya. Kenapa gak menggunakan cara yang dulu aja yang authentication lewat sms 3355. Lewat web pun tetep diarahkan lewat aplikasi livin",negatif
209,suprianto paintba,12/14/2022,5,Sangat membantu sukses selalu,positif
210,domin Oni,12/14/2022,1,"Baru saja daftar sudah gak bisa login, mana fisik nya belum ada",negatif
211,Haikal Khairul W.,12/14/2022,1,Apk semakin update semakin buruk,negatif
213,fandy addrian1,12/14/2022,2,"Knapa livin saya tidak bisa menampilkan tabungan ? Sudah di coba berkali"" tetap tidak bisa muncul dan karna itu saya tidak bisa melakukan transaksi",negatif
214,Via Selviana 28,12/14/2022,1,Error Mulu aplikasi sampah,negatif
215,Saepul rizal Rizal,12/14/2022,1,Malah g bisa D buka,negatif
216,Trissno 12,12/14/2022,1,Livin ini sekarang apa apanya susah amat sih payah banget,negatif
217,Nayna Sunda,12/14/2022,1,"Ini pelayanannya sangat buruk. Saya sangat kecewa dengan pelayanan mandiri KC RANTAUPRAPAT. Saya dibiarkan selama 1 jam diruang tunggu untuk mengatasi permasalahan saya tentang livin, tanpa ada yg menanyakan keperluan saya. Semua karyawan mondar mandir melewati saya dan tidak menghiraukan saya. Saya terima jika antrian banyak saya menunggu, ini sudah tidak ada lagi nasabah namun saya dibiarkan menunggu. Sungguh sangat disayangkan.",negatif
218,Lusi Fitria Ningsih,12/14/2022,1,Toling dong livin saya sekarang sering error.gak bisa diakses terus. Padahal lagi butuh2nya.,negatif
219,vino anjas,12/14/2022,1,kenapa livin tidak bisa login stiap login kluar dengan sendiri nya saya kecewa !!!,negatif
221,Ziie Menteng,12/14/2022,5,Livin nya ko ga bisa di buka aplikasi nya,negatif
222,Hadi Kusuma,12/14/2022,3,Transaksi yang sering digunakan tidak bisa dijadikan sebagai favorit,negatif
223,Heri boy,12/14/2022,5,Sangat baik,positif
225,072_ Nurul Khoirunnissa,12/14/2022,1,"ini gimana si kok di update gabisa terus,pas udah update malah jadi aneh aplikasinya",negatif
226,Kanjuruhan 10,12/14/2022,5,Mantap segala transaksi jadi mudah,positif
227,Rachmah Husaini,12/14/2022,5,"Mandiri bank yang sangat memudahkan sekali.. untuk ATMny tersebar dimana-mana , pendaftaran utk rekening baru juga mudah tidak menyulitkan harus datang isi2 form ke banknya .. luar biasa mandiri.. semua transaksi sekarang serba simpel dan gampang...",positif
228,Daniel Padmaputra,12/14/2022,2,Setiap kali topup e-wallet harus ketik manual no virtual akun. Lah apa gunanya disambungkan kalo masih ribet kaya gitu?,negatif
