userName,at,score,Sentimen,content
aguz logen,12/11/2022 14:36,5,negatif,Saya terkendala pembukaan rekening di bagiam sms
Elisabet Kristianti,12/11/2022 14:51,1,negatif,Bad sangat
Bewanolo Hulu,12/11/2022 15:03,5,positif,"Karena adanya aplikasi Livin by mandiri ini mulai dari yang logo biru hingga kuning selalu membantu saya dalam kegiatan sehari-hari, walaupun banyak komentar yg kurang menyenangkan penggunaan tapi bagi saya cukup memuaskan dan memastikan dalam melakukan transaksi karena jika ada sedikit kelemahan saya selalu sabar sebab segala sesuatu ada waktunya dan yg lebihnya adalah meringankan dalam melakukan transaksi dan aktivitas lainnya. Semoga kita semua selalu bahagia dan bersyukur apa adanya."
mas bad,12/11/2022 15:34,1,negatif,"mau top up ewallet semuanya ngga bisa, terua fungsinya apaan ini aplikasi ?"
WAHYU AZK,12/11/2022 16:04,3,negatif,Aplikasi langganan eror tiap malam .. up
Heri Yanto,12/11/2022 16:07,2,negatif,"Saya mau tf tapi aplikasi tidak bisa di buka,berkali""sudah di coba tpi selalu ada perbaik an sedang di cek trus,tolong di perbaiki"
Dian Sari,12/11/2022 16:25,1,negatif,"Aplikasi di update malah jadi ribet, login berkali kali gagal, giliran udah berhasil login mau transaksi jadi dipersulit, untuk top up berkali kali gagal dulu, histori transaksi gk guna lagi, yang tadi nya mudah jadi super sulit"
Eri,12/11/2022 17:31,1,negatif,Tidak bisa login
Riqki Lian,12/11/2022 17:42,2,negatif,"Saya butuh bantuan pabak ibu, karna Livin saya tidak bisa dibuka"
F.B. RAHMAYANI,12/11/2022 17:55,3,negatif,"Mengapa harus selalu wajib update, memori HP penuh, sehingga ketika mau pakai M-Banking tidak bisa.. ???????ù.. Bagaimana caranya agar tidak perlu update"
Fahim Kuy,12/11/2022 18:24,1,negatif,Jelek
Mr Dandi,12/11/2022 18:33,1,negatif,"Error nih aplikasi,mending aplikasi versi lama lebih bagus"
R Gusti,12/11/2022 18:35,3,negatif,Awalnya baik baik saja tapi makin kesini ko kaya gagal untuk login atau masuk yaa?
Rafanny van duen,12/11/2022 18:39,2,negatif,Sering gangguan... Ini aja gangguan lama banget...
Dheny Agustin,12/11/2022 18:40,1,negatif,Masa GK bisa cek saldo gmnah sih bos ko makin jelek ajah perbaharuin yang lebih normal LG dong bos
Fahrur Rozi,12/11/2022 18:46,1,negatif,Makin susah diakses
Atika Ulfahtul Khasanah,12/11/2022 18:51,2,negatif,"Gedeg banget, mau ngecek saldo malah gk bisa, malah tulisan coba kembali, gitu mulu apa2an dah! Awal nya gk bisa login, pas login malah saldo gk bisa muncul, tolong kebijakan nya sedikit!!!!!!!"
Anzar Muh,12/11/2022 18:53,1,negatif,"Aplikasi sering trouble,, keknya pindah bank sebelah aja deh kalau kayak gini caranya"
Faris Salim,12/11/2022 18:57,1,negatif,Aplikasi sampah ga bisa di gunakan saat situasi darurat jam 1 Ampe jam 4 malam sering error'
Bella Nurhastuti,12/11/2022 19:20,1,negatif,"Sering gagal transfer, hari ini saya dianggap telat bayar spaylater gara2 sistem anda yg buruk!!!!"
Muhammad Risqi,12/11/2022 20:24,2,negatif,"Kok gak bisa di buka yaa ada masalah apa sih sama livin,bisa bisa nya gak ada kartu debit nya dalam akun"
Ariful Mufti,12/11/2022 20:47,1,negatif,"Kebanyakan pemotongan dana sepihak, bank gajelas"
Bu'ul??l?? 06,12/11/2022 22:50,5,positif,Bagus
Hilmy Wahdani,12/12/2022 0:00,1,negatif,"Topup ovo 1250k gabisa top up 500k gabisa ini tuh niat ga bikin aplikasi, user di persulit ,didaerah saya cmn ada 1 atm itupun eror , di tf susah, Kirim email ke CS gadibales.!"
Abdul Wahab,12/12/2022 0:33,5,positif,sangat membantu
Erick Yulhaf iskandar,12/12/2022 1:44,1,negatif,"Awalnya saya merasa terbantu, transaksi menjadi gampang, setelah itu tidak bisa digunakan, di uninstal harus permuk, dan ga bisa bisa, giliran bisa permuk malah ditolak, aplikasi macam apa, brengsekk, akhirnya saya uninstal dan pindah ke yang lain. Terimakasih mandiri menyebalkan."
Fallen Angel,12/12/2022 1:50,1,negatif,transaksi error mulu sat
nana Siregar,12/12/2022 3:03,1,negatif,Tadi nya pake yg manual bukan online.krn sy tau akan sepwrti ini.agar tdk ribet..udh bertahun pake aman.trakhir digoyang juga.akhirnya disuruh pake livin.1 minggu ngurus.minggu ke 2 udh ga bisa di buka.luarbiasa..ini artinya harus ke bank dan antri lagi .mengagalkan banyak urusan transaksi...gmana ini kalau mengandalkan transaksi banyak urusan dgn aplikasi ini..
Ade Mulyana,12/12/2022 3:12,2,negatif,"maaf mau minta tolong ,saya sudah daftar online dan berhasil ,malah saldo sudah saya isi ..tapi kartu debit belum datang ke rumah .. nah sekarang hp saya ke restar ,,cara masuk nya gimana ya sedang kan saya ga tau nombr debit di kartu nya ."
tonyster sevenfold,12/12/2022 3:15,1,negatif,"Lemot parah , sering gangguan"
TIYAH TIYAH,12/12/2022 3:49,5,positif,Sangat membantu dan bagus smga slalu lancar trus????
tito andriant,12/12/2022 4:57,1,negatif,Payah
misbahuddin,12/12/2022 6:43,5,negatif,Tidak bisah di buka
inara diastika,12/12/2022 7:01,1,negatif,Ribet kau vertifikasi wajah gagal terus bank besar ko pelayanan kaya bank ecek2 otw ganti BCA saja lah
Murdis Kasra,12/12/2022 7:48,1,negatif,Livin mandiri saya GK bisa di buka
Andikha Stevefane,12/12/2022 8:02,1,negatif,"mau transfer gagal terus, mau top up gagal terus juga, isi e-money gak bisa"
rudi andrawin,12/12/2022 8:12,1,negatif,Biasanya cepet tapi kenaa sekarang susah dibukanya? Di log in keluar mulu
Febin Widya,12/12/2022 8:29,1,negatif,Gak bisa login
Hayyun Sartika,12/12/2022 9:04,1,negatif,"Setelah di update jadi nggak bisa di gunakan lagi,,, Sering forclose sendiri,,, Tolong di perbaiki lagi sistem nya Ke banyakan big nya"
sudiyono sudiyono,12/12/2022 9:09,4,negatif,Blm bisa bisa
naelil hikmah,12/12/2022 9:30,2,negatif,Maaf tolong ini gmana yaa ko saya ga bisa top up si gagal terus hampir smpe 5x
TOKO M NUR SHIFA,12/12/2022 10:47,4,negatif,livin kuning sering error.. coba tgl 09-12-22..tolong donk sampaikan pihak IT nya biyar cepat ditangani..ini aplikasi bank seharusnya harus lebih cepat ditangani..kenapa sampai sekarang mutasinya masih error teruss...
Mafut Soleh,12/12/2022 11:04,5,positif,Selama pake livin sangat lah membantu untuk transaksi jayalah terus mandiri
CHANNEL BARAYA TV,12/12/2022 11:26,1,negatif,Susah transfer susah di login ampun dahhh
Sabar Aku,12/12/2022 11:30,5,positif,Apk yang bagus
Amrozi Subing03,12/12/2022 11:35,3,negatif,Mengapa Livin saya gagal selalu untuk pendaftaran pada saat scan wajah.
A Ntet DM,12/12/2022 11:59,3,negatif,Min kenapa di Livin kami tidak ada menu lainnyauntuk mengajukan kartu kredit?
Irwan chan,12/12/2022 12:01,5,positif,Bagus
Abdul manan Abdul manan,12/12/2022 12:03,5,positif,Good lahh poko nya
Anggara Sm,12/12/2022 12:04,1,negatif,setelah update malah jadi susah untuk di akses.
Hiruzen Sarutobi,12/12/2022 12:17,3,negatif,Aplikasinya aneh udah disambungin sama e-wallet tapi giliran top up harus masukin nomornya lagi ribed ga bisa nyimpen riwayat top up yg langsung memasukkan nominal transaksi
Rendy Firmansyah,12/12/2022 12:38,5,positif,Seeep
ananto wahyu,12/12/2022 12:47,5,positif,Semakin maju by mandiri
ilmah ilmah,12/12/2022 12:53,3,positif,Mantap
Joko Tingkir,12/12/2022 13:00,1,negatif,Transfer ke rekening BPJS gagal tapi uang tetap di potong. Bukan nya mempermudah tapi buat susah ngurusin nya kesana ke mari.tolong dong di perbaiki lagi sistem nya
Rico Pame,12/12/2022 13:58,1,negatif,"lama lama ini aplikasi bukannya ada kemajuan, malah nyusahin!!! livin saya gabisa di akses. baru di klik langsung force close!! di coba install ulang beberapa kali dan di coba klik logo livin malah Livin By' Mandiri keeps stopping!!"
Ahmad Safii,12/12/2022 14:38,1,negatif,Fitur y mkin jjlk kesininya
ê?M ??WarGod??? Wea,12/12/2022 14:41,5,negatif,Napa GK bisa masuk yh
Elsa Darmawan,12/12/2022 15:30,5,positif,Sangat membantu
Rian Hidayatuloh,12/12/2022 15:41,3,positif,Sanget membantu sekali gk perlu ke ATM cukup buka aplikasi ini beres klo mau perbayar transaksi ny bagus sanget membantu sekali
Yulyan Urbata,12/12/2022 15:57,3,positif,Sangat mudah digunakan
PARDA SITEPU,12/12/2022 16:03,1,negatif,"Terlalu banyak gaya aja aplikasi ini, hari2 error mulu,, IT nya ga pakai...."
Syahriel Rezz,12/12/2022 16:33,1,negatif,ribet bgt nih Livin
Aileen Emma,12/12/2022 16:41,1,negatif,"Kenapa yaaa, aku mau log in tapi suruh diulang terus buat ganti password. Gila aja, uda ku ganti berkali2???? sudah tiga kali jugaa???? bantuin dong mohon ditanggapi dan segera diperbaiki app nya!!!!"
Agung Wibowo,12/12/2022 16:42,1,negatif,Makin hari makin buruk untuk pelayanannya...
Abdul Rozaq,12/12/2022 16:58,2,negatif,Kenapa buat login keluar sendiri ya.tolong diperbaiki lagi untuk aplikasinya mobile
Den DeDe,12/12/2022 17:42,1,negatif,livin gk bisa top up sekarang
Persib Bandung,12/12/2022 17:55,4,negatif,Ko gak bisa kebuka livin
ATA KITA,12/12/2022 18:48,1,negatif,Kenapa Setiap Kali Login Livin' By Mandiri baru saja 2 detik aplikasinya keluar dengan sendirinya. Mohon dibantu yaa...
N official,12/12/2022 19:00,1,negatif,apk tolol bug ae terus
Yunus Amrozi,12/12/2022 19:07,1,negatif,Topup dana gagal tpi saldo berkurang...ini gimana maksutnya.
Rizky Utami,12/12/2022 19:07,1,negatif,Kenapa selalu eror
gin ginanjar,12/12/2022 19:08,1,negatif,Kenapa setiap jam 2 mlm selalu gangguan. Gmn klo ada kondisi darurat harus tf. Becus ga sih. Sampai ga bisa standby 24 jam.
Donny Donn,12/12/2022 19:13,1,negatif,"Selalu eror, gak jelas banget ini aplikasi. Buruk"
Engla Febryo,12/12/2022 19:16,1,negatif,bermasalah
Marwah,12/12/2022 19:16,5,positif,good
adit wardana,12/12/2022 19:19,1,negatif,Kalo malam suka susah login.. Bank terbesar se-Indonesia tapi aplikasinya a#@*$ miris!!
Muh Afwan,12/12/2022 19:20,1,negatif,Aplikasinya jelek
Almeera Alfathunisa,12/12/2022 19:22,2,negatif,"Bagaimana ya tidak bisa d akses ,, manasaya blm ada karti debit nya ,, sayamau tf uang gk bisa"
Sri Widayati,12/12/2022 22:31,5,positif,Puas
Abdul Hamid,12/12/2022 22:46,3,negatif,"berharap ada perbaikan aplikasi, karena ketika di buka, tampilan saldo dan tabungan tidak bisa di tampilkan"
Alung 2073,12/12/2022 22:47,1,negatif,Bintang 1 dl
Suhendri Hendri,12/12/2022 23:17,5,positif,Ok
Agum Gumelar,12/12/2022 23:43,1,negatif,Kenapa saya tidak bisa top up padahal no dana saya itu benar
lina wilujeng,12/13/2022 0:27,5,negatif,Kenapa saya bukan rekening lewat livin sampai skrg ATM blum juga di kirim... Katanya 14 hari kerja... Saya juga tidak bisa mengakses livin jika ATM tidak dikirim??... Saya harus kontak kemana untuk menanyakan perihal ATM... Mohon di jawab
taufik mohamad,12/13/2022 0:33,5,positif,Ok...
Faisal Thobry,12/13/2022 1:08,2,negatif,"notifikasi sangat telat,harusnya standard bank server lebih stabil,gk telat notifikasi."
Lucky Sht22,12/13/2022 1:23,1,negatif,"Kenapa saya top up pulsa tidak masuk padahal pembayaran berhasil ,tapi cuma ada transaksi sedang di proses tapi pembayaran sudah berhasil ini gimana"
Ludiah Saragih,12/13/2022 1:52,3,negatif,Terkadang susah di buka aplikasinya
Ice Trisnawati,12/13/2022 1:55,5,positif,memoermudah ke adaan
retna kuncari,12/13/2022 2:16,1,negatif,"Tambah ngaco.. sering gagal masuk mesti ke pengaturan otomatos tgl & waktu.. padahal sdh OTOMATIS.. mesti buang, download ulang.. gitu aja terus.. ribet jadinya"
Harun Arrasyid,12/13/2022 2:30,2,negatif,knapa jam klo sudah jam 22.00 gk bisa login????ü?çü????è
Muhamad Iswandi,12/13/2022 3:10,5,positif,Mantap
Fery Anggriawan,12/13/2022 3:18,5,positif,Membantu
WIJATMOKO,12/13/2022 3:43,1,negatif,Aplikasinya kurang bagus
Meth Shrey,12/13/2022 4:27,5,positif,Sangat puas pake aplikasi ini
Fitri Budiwati,12/13/2022 5:06,1,negatif,knapa gk bisa d update biarpun berkali2 yaaaa
lenny nurdianti,12/13/2022 5:16,1,negatif,Anjirrrt kmren lancar jaya skrg ga bisa ke buka apk nya di pencet aja ga bisa haha apk apaan ini respon lama
Muchamad Zainul fikri,12/13/2022 5:33,1,negatif,"Gimana ini apk livyn gak bisa di buka, bolak balik instal/uninstal ttep aja gak bisa di buka ???? Tolong secepatnya di perbaiki Transaksi reversal saya belum di kembalikan, mutasinya hilang, di email tidak ada balasan, dunia digitalnya mana ini, siapa yang mau tanggung jawab"
Reza Izzuddin,12/13/2022 5:49,1,negatif,Penyelesaian masalah dari Bank Mandiri sangat buruk. Menyelesaikan masalah 1 transaksi saja membutuhkan waktu sampai 1 bulan lebih dan hingga kini belum jg terselesaikan. BUMN pelayanannya seperti ini sungguh memprihatinkan.
sardi putra,12/13/2022 6:11,1,negatif,"Setiap habis transaksi livin gak bisa di buka lagi, mau login dia keluar dengan sendirinya"
Iinnur Amallia,12/13/2022 6:56,1,negatif,Buat ngisi shoppe pay kok gak bisa kenapa ya
Iknaz Mauko,12/13/2022 6:59,5,positif,MANDIRI Maantapp bangatt
Laurensia The,12/13/2022 7:03,4,negatif,Mantap
Chandra Chinema,12/13/2022 7:48,1,negatif,Aplikasi jelek untuk login verifikasi wajah tidak bisa bisa
magdalena dekock,12/13/2022 8:26,5,positif,Good
Ari Purjianto,12/13/2022 9:00,1,negatif,Mau masuk aplikasi aja susahnya minta ampun...... Beda ama yang logo biru.....jadi males pake Mbanking sekarang Sekarang tambah lagi masalanya.... Saya isi pulsa menggunakan livin sebesar 100000 sudah beberapa hari belum juga masuk ke no Tujuan. Kita komplian harus menunggu 2 minggu????????????????????????????
RAS JayaBersama,12/13/2022 9:16,5,positif,Bagus mempercapat kegiatan transaksi usaha di daerah
syafei mardi,12/13/2022 9:46,5,positif,Mantap
Dede Iskandar,12/13/2022 10:31,1,negatif,"Tidak bisa untuk bayar bpjs, selalu gagal transaksi"
Riski Diapriliadewi,12/13/2022 10:50,1,negatif,"Tolong donk diperbaiki lagi aplikasinya , setelah di update gak bisa masuk lagi dan saat masuk katanya pin terblokir , disuruh verivikasi wajah tapi gak bisa dan sudah nyoba berkali kali. . . Sudah datang ke bank nya juga masih tetep gak bisa , terus garus bagaimana ?"
sofy ummuhaniyah,12/13/2022 11:20,1,negatif,"Livin sekarang makin susah di akses, transaksi mbaking jadi lama. Jadi agak maless pakainya. Livin dulu lebih oke, mudah di akses, ga perlu puluhan kali tekan untuk bisa login."
kamu tuyul,12/13/2022 12:26,1,negatif,IT nya gak becus
Amang Idik,12/13/2022 12:39,1,negatif,Susah untuk top up ke akun lain gagal mulu
Verdi Verdian,12/13/2022 12:47,3,negatif,Setelah di update verifikasi wajah kenapa selalu gagal ? Padahal udah jelas ikutin kamera lanjut berkedip. Gimana ini mandiri?
FIRUN F2M PURWOREJO (EXPRESS),12/13/2022 13:36,1,negatif,Susah login
Muhammad Tofik Ramadan,12/13/2022 13:54,1,negatif,Kenapa top up ke dana selalu gagal yaa
iswaray90,12/13/2022 14:13,4,negatif,Cara mengatasi lupa password jika tidak memiliki kartu karena daftar online gmn?
F_20_Gusti Ayu Apriliani Swantari,12/13/2022 15:27,1,negatif,"Livin makin kesini makin ngeribetin pengguna loh, topup eror mulu mana harus manual, transfer juga gitu. Pengembangan bukannya mempermudah malah lebih buruk dari sebelumnya, tolong diatensi ya tim livin terimakasih"
Erlangga Firmansyah,12/13/2022 15:55,1,negatif,"Tiap malem pengembangan terus , apa harus debug tiap malem ?"
awsatan,12/13/2022 16:06,1,negatif,lemot . .sering error
DY Production,12/13/2022 16:07,1,negatif,"Kenapa Tidak bisa login, Tolong Untuk developer nya segera di perbaiki"
Muhammad Arif,12/13/2022 16:07,2,negatif,Kenapa tiap jam 11 malam livin gangguan gabisa buka
uchiha itachi,12/13/2022 16:08,1,negatif,Gak bisa upload foto QRIS jadi kalo mau apa?? harus pake 2 hp untuk scan kode QR.. Payahh
Abang Ayin,12/13/2022 17:03,1,negatif,Nyesal downlodnya veripikasi E ktp di tolak terus..gagal terus..udah puluhan kali d coba...un istal aja..
wahyu wardana,12/13/2022 17:09,1,negatif,"Livin klo malem ga bisa transaksi ya, sampah !!!!"
Arief Syahputra,12/13/2022 17:48,5,negatif,gagal masuk
Mr Spectrum,12/13/2022 18:39,1,negatif,Maintenance yang tidak masuk akal. Kartu debit tidak bisa digunakan ketika ingin melakukan transaksi
Muhammad Furqan,12/13/2022 18:42,1,negatif,Aplikasi nya sangat sangat buruk karena selalu perbaikan setiap hari gimana kami mau transaksi klo perbaikan terus setiap hari klo gak niat bikin aplikasi gak usah bikin buat susah orang aja percuma ada apl banking
Alan Bima,12/13/2022 18:44,2,negatif,Sering keluar sendiri aplikasinya
Haidar Femes,12/13/2022 18:47,1,negatif,"narik tunai tanpa rek gak bisa , pas di batalkan saldo ilang"
Hanadulset Kania,12/13/2022 18:50,1,negatif,Banyak eror nya
Nuel Sloww,12/13/2022 18:52,1,negatif,Sering maintenance di malam hari..dan prosesnya terlalu lama.. no Gud ????
dadan Sofian,12/13/2022 18:58,5,positif,Sangat membantu
Rafaelfajar Fajar,12/13/2022 19:06,5,positif,Sangat berguna dan trus kembangkan lebih baik lgi top tooopp
Diyana Salma Suhailah,12/13/2022 20:05,2,negatif,"Ini kenapa yah selalu gagal kalo mau tf,pdhal saldo cukup"
Ning Aisyah,12/13/2022 22:27,1,negatif,Susah di update
Yayan Jamilah,12/13/2022 22:43,5,negatif,Mohon agak lebih cepat proses kartu debit nya dikirim ya??sampai sekarang kartu debit mandiri belum dikirim ke alamat saya???
Amelia Tatodamoniung,12/13/2022 23:28,1,negatif,"Sebenarnya saya suka dengan aplikasi Livin dari mandiri Tapi akhir2 ini baru mengklik aplikasi hanya 2 detik langsung keluar tanpa ada informasi lanjutan saya cek tidak ada pembaruan untuk aplikasi,, jaringan saya juga sangat bagus. Saya coba uninstall pas buka kembali registrasi seperti semula... Katanya tidak harus datang ke cabang atau ke atm Tapi saya registrasi kembali dan harus konfirmasi kembali ke atm mandiri Mana atm di daerah saya jauh lagi jaraknya."
Ronet Corporation,12/13/2022 23:35,2,negatif,"Ralat penilaian, ternyata Livin' terlalu mudah diretas. Duitku gak seberapa hilang tapi temanku amblas belasan juta... Tentunya yg akan disalahkan ya si pengguna tapi pengguna juga tidak akan lengah jika Livin' tidak seambruk itu"
Anggreni Tarigan,12/14/2022 0:18,5,positif,Livin terbaik
Jerry Langi,12/14/2022 0:41,1,negatif,"Makin lama makin sulit. Setelah di update Susah loginnya. Sudah berhari?? tidak bisa login. Mending yg BIRU, mudah, simpel, tidak ribet penggunaannya. Dr masih biru sampai awal kuning saya kasih 5 ü?ê, tp utk yg sekarang sangat parah. Tolong server di perhatikan kembali semua ulasan yg ada krn uda banyak yg mengeluh."
yuki na,12/14/2022 0:54,1,negatif,"Ke bank malah dibilang suruh perbaharui data, aduh aneh aneh aneh, padahal baru beberapa hari perbaharui data disuruh perbaharui lagi, kan ngentol"
Yusuf Rita,12/14/2022 1:04,1,negatif,Udah berapa kali download Livin masih susah buat perifikasi wajah harus gmna lagi udah berkali kali coba udah ngedownload mulu Masih aja gagal????????????
agung sunarya,12/14/2022 1:28,5,negatif,Gila parah banget ni Livin...ya kali saldo di potong biaya administrasi sampai 35.000 ribu dalam sehari....
ilham raharjo dwi cahyono,12/14/2022 1:32,1,negatif,sangat tidak memuaskan pelayanan mandiri
aminas saadah10,12/14/2022 2:46,4,positif,Cukup membantu
Aditya Ardhani Kusumaputra,12/14/2022 2:55,1,negatif,"Setelah terakhir Update apk ini jadi semakin sulit sebab per 2 minggu sekali harus saya re-instal, kemudian disini juga ga ada menu deposito kayk apk living yg sblmnya,"
Chrisnia Martha,12/14/2022 3:03,5,negatif,Tinggal scan Wajah ajaa sulit.. Nya pakek hp lain ttp ajaa solusi nya Bos.??
Deno Safrizal,12/14/2022 3:07,5,positif,Bagus
Dafir Chandra,12/14/2022 3:20,5,positif,Is ok
Sulis Ulis,12/14/2022 4:14,2,negatif,Sering eror
KHAERUR RAMLI,12/14/2022 4:24,1,negatif,Saya terpotong 15 rb/bln katanya 5rb
Hendri Lubuk,12/14/2022 4:39,5,positif,Bagus
Pur Purwanto (Purwanto),12/14/2022 5:00,5,negatif,Perlu ditingkatkan lagi
Sodikin Wilgiha,12/14/2022 5:22,3,negatif,Gagal trs untuk poto selfi kenapa
Rama Ardian,12/14/2022 5:30,1,negatif,Semakin lama semakin gak bermutu
Toni swandy Sigiro,12/14/2022 5:51,5,positif,Sngt membantu dlm situasi dan kondisi yg urgent sekalipun
Mulyaditanjung 12,12/14/2022 6:07,5,positif,Oke
Inaya Soleha,12/14/2022 6:12,5,positif,goog apss
dicky jr,12/14/2022 6:36,1,negatif,Merchant tidak lengkap
Deri Rohman,12/14/2022 6:43,1,positif,Sangat membantu untuk informasi
Ryan,12/14/2022 7:46,1,negatif,Susah sekali login akhir akhir ini...sangat menyebalkan!
Devi Parawansa,12/14/2022 8:06,5,positif,Oke
M IRFAN,12/14/2022 8:41,4,negatif,"Slmt sore untuk Livin by mandiri, Saya mau tanya knpa aplikasi Livin mandiri saya tidak bisa masuk dan tidak bisa di sentuh,udh 2 kali saya hapus terus download kembali,, tolong bantuannya, terimakasih"
yahya anggriyana,12/14/2022 8:43,3,negatif,Koq jadi ribet malah gabisa masuk alahasil harus kekantor cabang
Linda Linda,12/14/2022 9:01,4,positif,bagus
Dellah Realme,12/14/2022 10:12,5,positif,Puas
Pahrudin Doang,12/14/2022 11:11,5,positif,Menyimpan uang tanpa ribet
Yansen Octavianus Purba,12/14/2022 11:19,5,negatif,"Harusnya pada aplikasi ada fitur pinjaman KUR agar nasabah yg ingin memulai usaha, dapat bantuan modal dari bank mandiri."
Daniel Padmaputra,12/14/2022 11:21,2,negatif,Setiap kali topup e-wallet harus ketik manual no virtual akun. Lah apa gunanya disambungkan kalo masih ribet kaya gitu?
Rachmah Husaini,12/14/2022 11:33,5,positif,"Mandiri bank yang sangat memudahkan sekali.. untuk ATMny tersebar dimana-mana , pendaftaran utk rekening baru juga mudah tidak menyulitkan harus datang isi2 form ke banknya .. luar biasa mandiri.. semua transaksi sekarang serba simpel dan gampang..."
Kanjuruhan 10,12/14/2022 11:47,5,positif,Mantap segala transaksi jadi mudah
072_ Nurul Khoirunnissa,12/14/2022 12:01,1,negatif,"ini gimana si kok di update gabisa terus,pas udah update malah jadi aneh aplikasinya"
Heri boy,12/14/2022 12:06,5,positif,Sangat baik
Hadi Kusuma,12/14/2022 12:34,3,negatif,Transaksi yang sering digunakan tidak bisa dijadikan sebagai favorit
Ziie Menteng,12/14/2022 13:04,5,negatif,Livin nya ko ga bisa di buka aplikasi nya
Ujang ajiz Bb,12/14/2022 13:04,5,positif,Mantap
vino anjas,12/14/2022 14:06,1,negatif,kenapa livin tidak bisa login stiap login kluar dengan sendiri nya saya kecewa !!!
Lusi Fitria Ningsih,12/14/2022 14:09,1,negatif,Toling dong livin saya sekarang sering error.gak bisa diakses terus. Padahal lagi butuh2nya.
